node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.0.1_R3,296,36,44,6
#ATTENDANTS.0_R3,1443,0,185,0
#ATTENDANTS.RICHMOND.0.1_R3,1001,11,135,2
#ATTENDANTS.RICHMOND_R3,690,3,91,1
#ATTENDANTS_R3,5895,0,785,0
#Archbishop_R3,592,78,80,11
#BISHOPS_R3,1154,1,154,1
#BishopOfEly_R3,553,47,69,7
#Blunt_R3,397,67,52,8
#Brakenbury_R3,880,225,120,31
#Brandon_R3,672,0,94,0
#Buckingham_R3,9582,2918,1262,390
#CITIZENS.0_R3,159,0,21,0
#CITIZENS.1_R3,399,65,51,8
#CITIZENS.2_R3,399,104,51,13
#CITIZENS.3_R3,356,230,45,30
#CITIZENS_R3,1454,1,193,1
#Cardinal_R3,927,74,119,9
#Catesby_R3,6584,435,878,58
#Clarence_3H6,2669,1338,369,175
#ClarencesBoy_R3,1141,181,150,22
#ClarencesDaughter_R3,1983,58,260,8
#Dorset_R3,6057,122,800,16
#DuchessOfYork_R3,4060,1094,538,148
#EdwardIV_3H6,1064,524,137,67
#EdwardV_R3,1246,411,162,52
#GENTLEMEN.0.1_R3,1770,13,246,2
#GENTLEMEN_R3,1770,0,246,0
#GUARDS_R3,2769,0,380,0
#Grey_R3,3903,134,513,16
#Hastings_3H6,6457,1149,841,147
#HenryVII_R3,2445,1066,332,141
#HenryVI_1H6,1824,54,253,7
#Herbert_R3,861,10,119,1
#Jailer_R3,755,68,102,8
#LadyAnne_R3,2659,1242,363,172
#Lovell_R3,2398,20,319,3
#MESSENGERS.1_R3,315,33,42,5
#MESSENGERS.2_R3,282,23,37,3
#MESSENGERS.3_R3,259,47,34,7
#MESSENGERS.4_R3,167,78,21,10
#MESSENGERS.X.1_R3,274,61,40,8
#MESSENGERS.X.2_R3,254,118,35,16
#MESSENGERS.X.3_R3,75,7,10,1
#MURDERERS.1_R3,1621,463,228,72
#MURDERERS.2_R3,1595,436,226,64
#MayorOfLondon_R3,2924,115,386,15
#Norfolk_R3,1413,68,185,10
#Oxford_3H6,861,13,119,2
#PrinceEdward_3H6,44,44,8,8
#Pursuivant_R3,105,20,13,3
#QueenElizabeth_3H6,9342,2123,1232,277
#QueenMargaret_1H6,2587,1751,340,230
#Ratcliffe_R3,5791,219,776,33
#RichardIII_R3,17622,8833,2362,1176
#Rivers_3H6,4794,403,629,56
#SOLDIERS.RICHARD_R3,2176,0,299,0
#SOLDIERS.RICHMOND_R3,729,0,96,0
#Scales_R3,1064,0,137,0
#Scrivener_R3,116,116,14,14
#Sheriff_R3,228,9,30,2
#SirChristopher_R3,157,58,21,8
#SirJohn_R3,44,16,5,2
#Stanley_R3,6183,833,807,109
#Surrey_R3,144,9,19,1
#Tyrrel_R3,407,268,56,37
#Vaughan_R3,251,39,33,5
#Woodeville_R3,1064,0,137,0
#York_R3,1105,404,147,53
