act,scene,n_tokens,n_lines,onstage
1,1,1760,235,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW #Page_AWW #Parolles_AWW
1,2,603,86,#ATTENDANTS.KING.0.1_AWW #ATTENDANTS.KING.0.2_AWW #ATTENDANTS.KING_AWW #Bertram_AWW #King_AWW #Lafew_AWW #Parolles_AWW
1,3,2043,273,#Countess_AWW #Fool_AWW #Helen_AWW #Steward_AWW
2,1,1674,231,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #Lafew_AWW #Parolles_AWW
2,2,542,67,#Countess_AWW #Fool_AWW
2,3,2358,316,#ATTENDANTS.KING_AWW #Bertram_AWW #Helen_AWW #King_AWW #LORDS.COURT.1_AWW #LORDS.COURT.2_AWW #LORDS.COURT.3_AWW #LORDS.COURT.4_AWW #Lafew_AWW #Parolles_AWW
2,4,423,58,#Fool_AWW #Helen_AWW #Parolles_AWW
2,5,723,103,#Bertram_AWW #Helen_AWW #Lafew_AWW #Parolles_AWW
3,1,177,27,#Duke_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #SOLDIERS_AWW
3,2,1030,140,#Countess_AWW #Fool_AWW #GENTLEMEN.1_AWW #GENTLEMEN.2_AWW #Helen_AWW
3,3,94,14,#Bertram_AWW #Duke_AWW #Parolles_AWW #SOLDIERS_AWW
3,4,344,44,#Countess_AWW #Steward_AWW
3,5,785,120,#Bertram_AWW #CITIZENS_AWW #Diana_AWW #Helen_AWW #Mariana_AWW #Parolles_AWW #SOLDIERS_AWW #Widow_AWW
3,6,966,122,#Bertram_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #Parolles_AWW
3,7,394,54,#Helen_AWW #Widow_AWW
4,1,695,105,#LORDS.DUMAINE.1_AWW #Parolles_AWW #SOLDIERS.0.1_AWW #SOLDIERS.Interpreter_AWW #SOLDIERS_AWW
4,2,653,88,#Bertram_AWW #Diana_AWW
4,3,2629,362,#Bertram_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #Parolles_AWW #SOLDIERS.Interpreter_AWW #SOLDIERS_AWW #Servant_AWW
4,4,296,40,#Diana_AWW #Helen_AWW #Widow_AWW
4,5,843,108,#Countess_AWW #Fool_AWW #Lafew_AWW
5,1,305,45,#ATTENDANTS_AWW #Diana_AWW #GENTLEMEN.3_AWW #Helen_AWW #Widow_AWW
5,2,434,56,#Fool_AWW #Lafew_AWW #Parolles_AWW
5,3,2776,380,#ATTENDANTS.KING.0.1_AWW #ATTENDANTS.KING.0.2_AWW #ATTENDANTS.KING_AWW #Bertram_AWW #Countess_AWW #Diana_AWW #GENTLEMEN.3_AWW #Helen_AWW #King_AWW #LORDS.DUMAINE.1_AWW #LORDS.DUMAINE.2_AWW #Lafew_AWW #Parolles_AWW #Widow_AWW
6,0,52,6,#Epilogue_AWW
