act,scene,n_tokens,n_lines,onstage
0,1,1068,144,#HUNTSMEN.0.1_Shr #HUNTSMEN.0.2_Shr #HUNTSMEN.0.3_Shr #HUNTSMEN_Shr #Hostess_Shr #Lord_Shr #PLAYERS.0.1_Shr #PLAYERS.0.2_Shr #PLAYERS_Shr #SERVANTS.LORD.0.1_Shr #SERVANTS.LORD_Shr #Sly_Shr
0,2,1162,147,#Lord_Shr #Messenger_Shr #Page_Shr #SERVANTS.LORD.0.1_Shr #SERVANTS.LORD.0.2_Shr #SERVANTS.LORD.0.3_Shr #SERVANTS.LORD.0_Shr #SERVANTS.LORD_Shr #Sly_Shr
1,1,1992,264,#Baptista_Shr #Bianca_Shr #Biondello_Shr #Gremio_Shr #Hortensio_Shr #Katherine_Shr #Lucentio_Shr #Page_Shr #SERVANTS.LORD.0.1_Shr #Sly_Shr #Tranio_Shr
1,2,2243,288,#Biondello_Shr #Gremio_Shr #Grumio_Shr #Hortensio_Shr #Lucentio_Shr #Petruchio_Shr #Tranio_Shr
2,1,3305,435,#Baptista_Shr #Bianca_Shr #Biondello_Shr #Gremio_Shr #Hortensio_Shr #Katherine_Shr #Lucentio_Shr #Petruchio_Shr #SERVANTS.BAPTISTA.1_Shr #Tranio_Shr
3,1,698,95,#Bianca_Shr #Hortensio_Shr #Lucentio_Shr #SERVANTS.BAPTISTA.1_Shr
3,2,1941,261,#Baptista_Shr #Bianca_Shr #Biondello_Shr #Gremio_Shr #Grumio_Shr #Hortensio_Shr #Katherine_Shr #Lucentio_Shr #Petruchio_Shr #SERVANTS.BAPTISTA_Shr #Tranio_Shr
4,1,1546,211,#Curtis_Shr #Grumio_Shr #Katherine_Shr #Petruchio_Shr #SERVANTS.PETRUCHIO.0.2_Shr #SERVANTS.PETRUCHIO.0.4_Shr #SERVANTS.PETRUCHIO.Joseph_Shr #SERVANTS.PETRUCHIO.Nathaniel_Shr #SERVANTS.PETRUCHIO.Nicholas_Shr #SERVANTS.PETRUCHIO.Peter_Shr #SERVANTS.PETRUCHIO.Phillip_Shr #SERVANTS.PETRUCHIO_Shr
4,2,952,126,#Bianca_Shr #Biondello_Shr #Hortensio_Shr #Lucentio_Shr #Merchant_Shr #Tranio_Shr
4,3,1564,203,#Grumio_Shr #Haberdasher_Shr #Hortensio_Shr #Katherine_Shr #Petruchio_Shr #Tailor_Shr
4,4,795,111,#Baptista_Shr #Biondello_Shr #Lucentio_Shr #Merchant_Shr #Tranio_Shr
4,5,636,84,#Hortensio_Shr #Katherine_Shr #Petruchio_Shr #SERVANTS.PETRUCHIO_Shr #Vincentio_Shr
5,1,1031,156,#Baptista_Shr #Bianca_Shr #Biondello_Shr #Gremio_Shr #Grumio_Shr #Katherine_Shr #Lucentio_Shr #Merchant_Shr #Officer_Shr #Petruchio_Shr #SERVANTS.BAPTISTA_Shr #SERVANTS.PETRUCHIO_Shr #Tranio_Shr #Vincentio_Shr
5,2,1491,206,#Baptista_Shr #Bianca_Shr #Biondello_Shr #Gremio_Shr #Grumio_Shr #Hortensio_Shr #Katherine_Shr #Lucentio_Shr #Merchant_Shr #Petruchio_Shr #SERVANTS_Shr #Tranio_Shr #Vincentio_Shr #Widow_Shr
