xml:id,corresp
ATTENDANTS.PERICLES.1_Per,#ATTENDANTS_Per
ATTENDANTS.PERICLES_Per,#ATTENDANTS_Per
ATTENDANTS.SIMONIDES.0.1_Per,#ATTENDANTS.SIMONIDES_Per
ATTENDANTS.SIMONIDES_Per,#ATTENDANTS_Per
ATTENDANTS_Per,
Antiochus_Per,
Bawd_Per,
Bolt_Per,
CITIZENS.TARSUS_Per,
Cerimon_Per,
Cleon_Per,
Companion_Per,
Daughter_Per,
Diana_Per,
Dionyza_Per,
FISHERMEN.1_Per,#FISHERMEN_Per
FISHERMEN.2_Per,#FISHERMEN_Per
FISHERMEN.3_Per,#FISHERMEN_Per
FISHERMEN_Per,
FOLLOWERS.ANTIOCHUS_Per,
GENTLEMEN.EPHESUS.1_Per,#GENTLEMEN.EPHESUS_Per
GENTLEMEN.EPHESUS.2_Per,#GENTLEMEN.EPHESUS_Per
GENTLEMEN.EPHESUS_Per,#GENTLEMEN_Per
GENTLEMEN.MYTILENE.1_Per,#GENTLEMEN.MYTILENE_Per
GENTLEMEN.MYTILENE.2_Per,#GENTLEMEN.MYTILENE_Per
GENTLEMEN.MYTILENE_Per,#GENTLEMEN_Per
GENTLEMEN.TYRE.0.1_Per,#GENTLEMEN.TYRE_Per
GENTLEMEN.TYRE_Per,#GENTLEMEN_Per
GENTLEMEN_Per,
Gower_Per,
Helicanus_Per,
KNIGHTS.0.1_Per,#KNIGHTS_Per
KNIGHTS.0.2_Per,#KNIGHTS_Per
KNIGHTS.0.3_Per,#KNIGHTS_Per
KNIGHTS.0.4_Per,#KNIGHTS_Per
KNIGHTS.0.5_Per,#KNIGHTS_Per
KNIGHTS_Per,
LADIES.PENTAPOLIS_Per,
LORDS.MYTILENE.0.1_Per,
LORDS.MYTILENE_Per,#LORDS_Per
LORDS.PENTAPOLIS.0.1_Per,#LORDS.PENTAPOLIS_Per
LORDS.PENTAPOLIS.0.2_Per,#LORDS.PENTAPOLIS_Per
LORDS.PENTAPOLIS.0.3_Per,#LORDS.PENTAPOLIS_Per
LORDS.PENTAPOLIS_Per,#LORDS_Per
LORDS.TARSUS.1_Per,#LORDS_Per
LORDS.TYRE.0.1_Per,#LORDS.TYRE_Per
LORDS.TYRE.0.2_Per,#LORDS.TYRE_Per
LORDS.TYRE.0.3_Per,#LORDS.TYRE_Per
LORDS.TYRE.Escanes_Per,#LORDS.TYRE_Per
LORDS.TYRE_Per,#LORDS.TYRE_Per
LORDS_Per,
Leonine_Per,
Lychorida_Per,
Lysimachus_Per,
MESSENGERS.ANTIOCH.1_Per,#MESSENGERS_Per
MESSENGERS.TYRE.1_Per,#MESSENGERS_Per
MESSENGERS_Per,
Marina.Infant_Per,
Marina_Per,
Marshal_Per,
PIRATES.0.1_Per,#PIRATES_Per
PIRATES.0.2_Per,#PIRATES_Per
PIRATES.0.3_Per,#PIRATES_Per
PIRATES_Per,
PRIESTESSES_Per,
Pander_Per,
Pericles_Per,
Philemon_Per,
SAILORS.1_Per,#SAILORS_Per
SAILORS.2_Per,#SAILORS_Per
SAILORS.MYTILENE.1_Per,#SAILORS_Per
SAILORS.TYRE.1_Per,#SAILORS_Per
SAILORS_Per,
SERVANTS.CERIMON.0.1_Per,#SERVANTS.CERIMON_Per
SERVANTS.CERIMON.0.2_Per,#SERVANTS.CERIMON_Per
SERVANTS.CERIMON_Per,#SERVANTS_Per
SERVANTS_Per,
SQUIRES.0.1_Per,#SQUIRES_Per
SQUIRES.0.2_Per,#SQUIRES_Per
SQUIRES.0.3_Per,#SQUIRES_Per
SQUIRES.0.4_Per,#SQUIRES_Per
SQUIRES.0.5_Per,#SQUIRES_Per
SQUIRES_Per,
SUPPLIANTS.1_Per,#SUPPLIANTS_Per
SUPPLIANTS.2_Per,#SUPPLIANTS_Per
SUPPLIANTS_Per,
Simonides_Per,
Thaisa_Per,
Thaliard_Per,
