xml:id,corresp
ATTENDANTS.0_Mac,#ATTENDANTS_Mac
ATTENDANTS_Mac,
Angus_Mac,
Banquo_Mac,
Caithness_Mac,
Doctor1_Mac,
Doctor2_Mac,
Donalbain_Mac,
Duncan_Mac,
Fleance_Mac,
Gentlewoman_Mac,
Hecate_Mac,
LadyMacbeth_Mac,
LadyMacduff_Mac,
Lennox_Mac,
Lord_Mac,
MESSENGERS.1_Mac,#MESSENGERS_Mac
MESSENGERS.2_Mac,#MESSENGERS_Mac
MESSENGERS.3_Mac,#MESSENGERS_Mac
MESSENGERS_Mac,
MURDERERS.0.1_Mac,#MURDERERS_Mac
MURDERERS.1_Mac,#MURDERERS_Mac
MURDERERS.2_Mac,#MURDERERS_Mac
MURDERERS.3_Mac,#MURDERERS_Mac
MURDERERS_Mac,
Macbeth_Mac,
Macduff_Mac,
MacduffsSon_Mac,
Malcolm_Mac,
Menteith_Mac,
OldMan_Mac,
Porter_Mac,
Ross_Mac,
SERVANTS.X.1_Mac,#SERVANTS_Mac
SERVANTS.X.2_Mac,#SERVANTS_Mac
SERVANTS.X.3_Mac,#SERVANTS_Mac
SERVANTS.X.4_Mac,#SERVANTS_Mac
SERVANTS_Mac,
SOLDIERS.Captain_Mac,#SOLDIERS_Mac
SOLDIERS.MACBETH_Mac,#SOLDIERS_Mac
SOLDIERS.MALCOLM.0.1_Mac,#SOLDIERS.MALCOLM_Mac
SOLDIERS.MALCOLM_Mac,#SOLDIERS_Mac
SOLDIERS_Mac,
SPIRITS.1_Mac,#SPIRITS_Mac
SPIRITS.2_Mac,#SPIRITS_Mac
SPIRITS.3_Mac,#SPIRITS_Mac
SPIRITS.KINGS_Mac,#SPIRITS_Mac
SPIRITS_Mac,
Seyton_Mac,
Siward_Mac,
WITCHES.1_Mac,#WITCHES_Mac
WITCHES.2_Mac,#WITCHES_Mac
WITCHES.3_Mac,#WITCHES_Mac
WITCHES_Mac,
YoungSiward_Mac,
