xml:id,corresp
AEDILES.X.1_Cor,#AEDILES_Cor
AEDILES.X.2_Cor,#AEDILES_Cor
AEDILES.X.3_Cor,#AEDILES_Cor
AEDILES_Cor,
ATTENDANTS.ROMAN_Cor,#ATTENDANTS_Cor
ATTENDANTS.VOLSCIAN_Cor,#ATTENDANTS_Cor
ATTENDANTS_Cor,
Adrian_Cor,
Aufidius_Cor,
CITIZENS.ANTIUM.1_Cor,#CITIZENS_Cor
CITIZENS.ROMAN.0.1_Cor,CITIZENS.ROMAN_Cor
CITIZENS.ROMAN.0.2_Cor,CITIZENS.ROMAN_Cor
CITIZENS.ROMAN.0.3_Cor,CITIZENS.ROMAN_Cor
CITIZENS.ROMAN.1_Cor,CITIZENS.ROMAN_Cor
CITIZENS.ROMAN.2_Cor,CITIZENS.ROMAN_Cor
CITIZENS.ROMAN.3_Cor,CITIZENS.ROMAN_Cor
CITIZENS.ROMAN.4_Cor,CITIZENS.ROMAN_Cor
CITIZENS.ROMAN.5_Cor,CITIZENS.ROMAN_Cor
CITIZENS.ROMAN.6_Cor,CITIZENS.ROMAN_Cor
CITIZENS.ROMAN.7_Cor,CITIZENS.ROMAN_Cor
CITIZENS.ROMAN.8_Cor,CITIZENS.ROMAN_Cor
CITIZENS.ROMAN_Cor,#CITIZENS_Cor
CITIZENS.VOLSCIAN_Cor,#CITIZENS_Cor
CITIZENS_Cor,
CONSPIRATORS.0.1_Cor,#CONSPIRATORS_Cor
CONSPIRATORS.0.2_Cor,#CONSPIRATORS_Cor
CONSPIRATORS.0.3_Cor,#CONSPIRATORS_Cor
CONSPIRATORS_Cor,
Cominius_Cor,
Coriolanus_Cor,
Gentlewoman_Cor,
Herald_Cor,
LICTORS_Cor,
LORDS.VOLSCIAN.0.1_Cor,#LORDS.VOLSCIAN_Cor
LORDS.VOLSCIAN.0.2_Cor,#LORDS.VOLSCIAN_Cor
LORDS.VOLSCIAN.0.3_Cor,#LORDS.VOLSCIAN_Cor
LORDS.VOLSCIAN_Cor,#LORDS_Cor
LORDS_Cor,
Lartius_Cor,
MESSENGERS.TRIBUNES.1_Cor,MESSENGERS_Cor
MESSENGERS.TRIBUNES.2_Cor,MESSENGERS_Cor
MESSENGERS.X.1_Cor,MESSENGERS_Cor
MESSENGERS.X.2_Cor,MESSENGERS_Cor
MESSENGERS.X.3_Cor,MESSENGERS_Cor
MESSENGERS.X.4_Cor,MESSENGERS_Cor
MESSENGERS_Cor,
Menenius_Cor,
NOBLES.0.1_Cor,#NOBLES_Cor
NOBLES_Cor,
Nicanor_Cor,
OFFICERS.1_Cor,#OFFICERS_Cor
OFFICERS.2_Cor,#OFFICERS_Cor
OFFICERS_Cor,
SENATORS.ROMAN.0.1_Cor,#SENATORS.ROMAN_Cor
SENATORS.ROMAN.0.2_Cor,#SENATORS.ROMAN_Cor
SENATORS.ROMAN_Cor,#SENATORS_Cor
SENATORS.VOLSCIAN.0.1_Cor,#SENATORS.VOLSCIAN_Cor
SENATORS.VOLSCIAN.0.2_Cor,#SENATORS.VOLSCIAN_Cor
SENATORS.VOLSCIAN_Cor,#SENATORS_Cor
SENATORS_Cor,
SERVANTS.1_Cor,#SERVANTS_Cor
SERVANTS.2_Cor,#SERVANTS_Cor
SERVANTS.3_Cor,#SERVANTS_Cor
SERVANTS_Cor,
SOLDIERS.ROMAN.0.1_Cor,#SERVANTS.ROMAN_Cor
SOLDIERS.ROMAN.0.2_Cor,#SERVANTS.ROMAN_Cor
SOLDIERS.ROMAN.0.3_Cor,#SERVANTS.ROMAN_Cor
SOLDIERS.ROMAN.0_Cor,#SERVANTS.ROMAN_Cor
SOLDIERS.ROMAN.Lieutenant_Cor,#SERVANTS.ROMAN_Cor
SOLDIERS.ROMAN.Scout_Cor,#SERVANTS.ROMAN_Cor
SOLDIERS.ROMAN.Trumpeter_Cor,#SERVANTS.ROMAN_Cor
SOLDIERS.ROMAN_Cor,#SOLDIERS_Cor
SOLDIERS.VOLSCIAN.0.1_Cor,#SERVANTS.VOLSCIAN_Cor
SOLDIERS.VOLSCIAN.Lieutenant_Cor,
SOLDIERS.VOLSCIAN_Cor,#SOLDIERS_Cor
SOLDIERS_Cor,
TRIBUNES.Brutus_Cor,
TRIBUNES.Sicinius_Cor,
Usher_Cor,
Valeria_Cor,
Virgilia_Cor,
Volumnia_Cor,
WATCHMEN.1_Cor,#WATCHMEN_Cor
WATCHMEN.2_Cor,#WATCHMEN_Cor
WATCHMEN_Cor,
YoungMartius_Cor,
