xml:id,corresp
ATTENDANTS.0_Oth,#ATTENDANTS_Oth
ATTENDANTS_Oth,
Bianca_Oth,
Brabantio_Oth,
Cassio_Oth,
Clown_Oth,
Desdemona_Oth,
Duke_Oth,
Emilia_Oth,
GENTLEMEN.0.1_Oth,#GENTLEMEN_Oth
GENTLEMEN.1_Oth,#GENTLEMEN_Oth
GENTLEMEN.2_Oth,#GENTLEMEN_Oth
GENTLEMEN.3_Oth,#GENTLEMEN_Oth
GENTLEMEN_Oth,
Gratiano_Oth,
Herald_Oth,
Iago_Oth,
Lodovico_Oth,
MESSENGERS.X.1_Oth,#MESSENGERS_Oth
MESSENGERS.X.2_Oth,#MESSENGERS_Oth
MESSENGERS_Oth,
MUSICIANS.0.1_Oth,#MUSICIANS_Oth
MUSICIANS_Oth,
Montano_Oth,
OFFICERS.0.1_Oth,#OFFICERS_Oth
OFFICERS.0_Oth,#OFFICERS_Oth
OFFICERS_Oth,
Othello_Oth,
Roderigo_Oth,
SENATORS.0.1_Oth,#SENATORS_Oth
SENATORS.0.2_Oth,#SENATORS_Oth
SENATORS_Oth,
SERVANTS.BRABANTIO_Oth,#SERVANTS_Oth
SERVANTS_Oth,
Sailor_Oth,
