Char1,Char2,Cosine Similarity W2V,Same Book,Char Book,Char2 Book,Cosine Similarity BERT
balthasar,ophelia,0.5945420473350231,0,Romeo And Juliet,Hamlet,0.960314561491004
capulet,queen,0.7265981580668133,0,Romeo And Juliet,Hamlet,0.9711857134003595
capulet,laertes,0.7275042104637433,0,Romeo And Juliet,Hamlet,0.9716675969081356
benvolio,laertes,0.7267336712908057,0,Romeo And Juliet,Hamlet,0.9722928807455822
malcolm,seyton,0.9999047471718104,1,Macbeth,Macbeth,0.9445383747451889
malcolm,queen,0.7957782417507545,0,Macbeth,Hamlet,0.970150415134632
benvolio,queen,0.7258248057996098,0,Romeo And Juliet,Hamlet,0.9709256660351698
juliet,montague,0.9999379974909646,1,Romeo And Juliet,Romeo And Juliet,0.9767011983375719
polonius,tybalt,0.7259578596391525,0,Hamlet,Romeo And Juliet,0.973217137608189
king,macbeth,0.7948917323252209,0,Hamlet,Macbeth,0.9798835884990822
macbeth,romeo,0.7685610520929234,0,Macbeth,Romeo And Juliet,0.9738024565169243
petruchio,polonius,0.7259412133024571,0,Romeo And Juliet,Hamlet,0.9124894133046493
abram,lady,0.9996402256393937,1,Romeo And Juliet,Romeo And Juliet,0.9232761349718593
benvolio,capulet,0.9999487005876602,1,Romeo And Juliet,Romeo And Juliet,0.9749741964138732
balthasar,benvolio,0.8203191378707756,1,Romeo And Juliet,Romeo And Juliet,0.9592467348191122
abram,polonius,0.7283487336329457,0,Romeo And Juliet,Hamlet,0.9342875723975179
balthasar,seyton,0.6430352630032171,0,Romeo And Juliet,Macbeth,0.9192093283054631
macbeth,queen,0.7948666587791425,0,Macbeth,Hamlet,0.9819634066003838
laertes,seyton,0.7969078992069614,0,Hamlet,Macbeth,0.9447578029588413
horatio,ophelia,0.9999492276395696,1,Hamlet,Hamlet,0.9763914477659851
montague,ophelia,0.7254486461154582,0,Romeo And Juliet,Hamlet,0.9738517197897569
donalbain,seyton,0.9998414848706559,1,Macbeth,Macbeth,0.9258945594967615
duncan,macbeth,0.9999717253845416,1,Macbeth,Macbeth,0.9782768146741034
hamlet,macbeth,0.7952472395608361,0,Hamlet,Macbeth,0.9834613324081107
balthasar,horatio,0.5931152273535396,0,Romeo And Juliet,Hamlet,0.9634424474446113
capulet,king,0.7264442365636963,0,Romeo And Juliet,Hamlet,0.9712897382713213
